rho,method,repetitions,clean_target,estimate_mean,estimate_lower_95,estimate_upper_95,absolute_error_mean,bias_mean,bias_lower_95,bias_upper_95,external_flip_mean,generator_limited_count,naive_minus_oracle_skip_mean,naive_minus_oracle_skip_lower_95,naive_minus_oracle_skip_upper_95
0.0,STATIC,1000,0.42857142857142855,0.5,0.5,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857145,0.07142857142857145,0.0,9,-0.12228260869565213,-0.12228260869565216,-0.12228260869565216
0.0,NAIVE,1000,0.42857142857142855,0.3125,0.3125,0.3125,0.1160714285714286,-0.1160714285714286,-0.11607142857142855,-0.11607142857142855,0.0,9,-0.12228260869565213,-0.12228260869565216,-0.12228260869565216
0.0,ORACLE_SKIP,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.0,9,-0.12228260869565213,-0.12228260869565216,-0.12228260869565216
0.0,ORACLE_CLEAN,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.0,9,-0.12228260869565213,-0.12228260869565216,-0.12228260869565216
0.05,STATIC,1000,0.42857142857142855,0.5,0.5,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857145,0.07142857142857145,0.45,9,-0.13553260869565215,-0.18478260869565216,-0.12228260869565216
0.05,NAIVE,1000,0.42857142857142855,0.29925,0.25,0.3125,0.12932142857142856,-0.12932142857142856,-0.17857142857142855,-0.11607142857142855,0.45,9,-0.13553260869565215,-0.18478260869565216,-0.12228260869565216
0.05,ORACLE_SKIP,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.45,9,-0.13553260869565215,-0.18478260869565216,-0.12228260869565216
0.05,ORACLE_CLEAN,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.45,9,-0.13553260869565215,-0.18478260869565216,-0.12228260869565216
0.1,STATIC,1000,0.42857142857142855,0.5,0.5,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857145,0.07142857142857145,0.9,9,-0.15109510869565215,-0.21603260869565216,-0.12228260869565216
0.1,NAIVE,1000,0.42857142857142855,0.2836875,0.21875,0.3125,0.14488392857142857,-0.14488392857142857,-0.20982142857142855,-0.11607142857142855,0.9,9,-0.15109510869565215,-0.21603260869565216,-0.12228260869565216
0.1,ORACLE_SKIP,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.9,9,-0.15109510869565215,-0.21603260869565216,-0.12228260869565216
0.1,ORACLE_CLEAN,1000,0.42857142857142855,0.4347826086956522,0.43478260869565216,0.43478260869565216,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.006211180124223614,0.9,9,-0.15109510869565215,-0.21603260869565216,-0.12228260869565216
0.2,STATIC,1000,0.42857142857142855,0.5,0.5,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857145,0.07142857142857145,1.8,9,-0.17750135869565214,-0.24728260869565216,-0.12228260869565216
0.2,NAIVE,1000,0.42857142857142855,0.25728125,0.1875,0.3125,0.17129017857142856,-0.17129017857142856,-0.24107142857142855,-0.11607142857142855,1.8,9,-0.17750135869565214,-0.24728260869565216,-0.12228260869565216
