accuracy,confusion,context,f1_environment,f1_executor,f1_generator,f1_selector,f1_success,macro_f1,model,regime,selector_auroc,selector_brier,selector_ece,selector_f1
0.3892,"[[1946, 0, 0, 0, 0], [712, 0, 0, 0, 0], [775, 0, 0, 0, 0], [790, 0, 0, 0, 0], [777, 0, 0, 0, 0]]",id,0.0,0.0,0.0,0.0,0.5603224877627412,0.11206449755254824,majority,A_balanced,0.5,0.1310090277777778,0.005833333333333357,0.0
0.7644,"[[1871, 24, 7, 34, 10], [31, 516, 53, 52, 60], [15, 43, 649, 11, 57], [74, 85, 30, 400, 201], [64, 100, 59, 168, 386]]",id,0.5177733065057009,0.5498281786941581,0.6972972972972973,0.8251748251748252,0.9352661834541365,0.7050679582252236,logistic,A_balanced,0.9803483107463256,0.03785032973718356,0.01169843849405874,0.8251748251748252
0.7494,"[[1816, 47, 11, 47, 25], [28, 482, 69, 72, 61], [11, 47, 658, 10, 49], [55, 91, 38, 396, 210], [48, 93, 74, 167, 395]]",id,0.5207646671061306,0.5344129554655871,0.654891304347826,0.8098461538461539,0.930327868852459,0.6900485899236314,random_forest,A_balanced,0.9766676083221989,0.045094249675134,0.04586215843162242,0.8098461538461539
0.498,"[[2490, 0, 0, 0, 0], [775, 0, 0, 0, 0], [1225, 0, 0, 0, 0], [247, 0, 0, 0, 0], [263, 0, 0, 0, 0]]",id,0.0,0.0,0.0,0.0,0.664886515353805,0.132977303070761,majority,B_low_external,0.5,0.18524177777777778,0.016333333333333366,0.0
0.8632,"[[2430, 34, 13, 10, 3], [56, 589, 83, 30, 17], [15, 65, 1119, 6, 20], [30, 56, 26, 92, 43], [43, 59, 49, 26, 86]]",id,0.39814814814814814,0.44768856447688565,0.7465145754119138,0.8898608349900596,0.9597156398104265,0.6883855525674868,logistic,B_low_external,0.9872408703878902,0.03747693436897136,0.012255448405924104,0.8898608349900596
0.8392,"[[2349, 66, 17, 43, 15], [44, 558, 69, 64, 40], [13, 83, 1068, 20, 41], [19, 45, 21, 105, 57], [31, 38, 34, 44, 116]]",id,0.43609022556390975,0.40152963671128106,0.7130990415335463,0.8775677896466721,0.9498584714921149,0.6756290329895048,random_forest,B_low_external,0.9832377348290309,0.05248347343159346,0.061574010167827264,0.8775677896466721
0.3478,"[[1739, 0, 0, 0, 0], [1047, 0, 0, 0, 0], [474, 0, 0, 0, 0], [757, 0, 0, 0, 0], [983, 0, 0, 0, 0]]",id,0.0,0.0,0.0,0.0,0.5161003116189345,0.10322006232378692,majority,C_high_non_selector,0.5,0.08582544444444443,0.0035333333333333328,0.0
0.747,"[[1655, 31, 6, 23, 24], [50, 773, 44, 89, 91], [8, 56, 375, 13, 22], [50, 92, 9, 380, 226], [56, 134, 39, 202, 552]]",id,0.5816649104320337,0.5191256830601093,0.7248007501172058,0.791974656810982,0.9302979201798763,0.7095727841200413,logistic,C_high_non_selector,0.9791938187425302,0.029231528811701588,0.0074087804821993605,0.791974656810982
0.7304,"[[1616, 44, 12, 38, 29], [41, 746, 69, 105, 86], [5, 46, 398, 14, 11], [42, 97, 22, 399, 197], [54, 132, 64, 240, 493]]",id,0.548082267926626,0.5138441725692209,0.7064393939393939,0.766121270452358,0.9242207606519874,0.6917415731079173,random_forest,C_high_non_selector,0.9759234502573969,0.033261155961058705,0.04445250202140322,0.766121270452358
0.4028,"[[2014, 0, 0, 0, 0], [481, 0, 0, 0, 0], [1498, 0, 0, 0, 0], [509, 0, 0, 0, 0], [498, 0, 0, 0, 0]]",id,0.0,0.0,0.0,0.0,0.5742800114057599,0.11485600228115198,majority,D_selector_heavy,0.5,0.20984357777777773,0.001933333333333287,0.0
0.8182,"[[1966, 15, 13, 15, 5], [39, 291, 76, 47, 28], [17, 44, 1387, 28, 22], [42, 73, 51, 270, 73], [55, 58, 82, 126, 177]]",id,0.44084682440846823,0.542713567839196,0.604989604989605,0.8928226585130351,0.9513670457294943,0.6865479402959597,logistic,D_selector_heavy,0.9838606434316763,0.04552304669872875,0.009413308676751768,0.8928226585130351
0.8012,"[[1912, 36, 15, 33, 18], [24, 327, 51, 49, 30], [17, 78, 1314, 46, 43], [27, 90, 34, 259, 99], [38, 75, 56, 135, 194]]",id,0.4399092970521542,0.5024248302618817,0.6016559337626495,0.8854447439353099,0.9484126984126984,0.6755695006849387,random_forest,D_selector_heavy,0.9783118401157759,0.0642458537639174,0.06916719245911851,0.8854447439353099
0.3472,"[[1736, 0, 0, 0, 0], [975, 0, 0, 0, 0], [484, 0, 0, 0, 0], [766, 0, 0, 0, 0], [1039, 0, 0, 0, 0]]",ood_A_to_C_noisy,0.0,0.0,0.0,0.0,0.5154394299287411,0.10308788598574822,majority,C_high_non_selector,0.5,0.0901720277777778,0.052366666666666645,0.0
0.6562,"[[1555, 63, 43, 36, 39], [91, 577, 120, 91, 96], [17, 65, 353, 16, 33], [83, 130, 61, 338, 154], [100, 151, 112, 218, 458]]",ood_A_to_C_noisy,0.5035733919736118,0.4614334470989761,0.5884752677205507,0.6018755328218244,0.8682300390843104,0.6047175357398548,logistic,C_high_non_selector,0.9334007093236901,0.06239139832552189,0.04952451088593415,0.6018755328218244
0.6294,"[[1459, 114, 69, 54, 40], [81, 572, 132, 88, 102], [18, 58, 365, 12, 31], [72, 133, 85, 313, 163], [83, 163, 159, 196, 438]]",ood_A_to_C_noisy,0.48317705460562604,0.43806857942617217,0.567741935483871,0.5641421947449768,0.8460423311104668,0.5798344190742226,random_forest,C_high_non_selector,0.9206471572151175,0.0609984865634271,0.06114851809077985,0.5641421947449768
