oracle_benefit_recovered_by_predicted,oracle_minus_naive,oracle_utility,predicted_minus_naive,predicted_utility,repair_probability,state_naive_utility,verifier_cost
,-0.04641666666666666,0.38458333333333333,-0.04641666666666666,0.38458333333333333,0.5,0.431,0.0
,-0.03169666666666665,0.3793033333333333,-0.0316683333333333,0.3793316666666667,0.5,0.411,0.02
,-0.009616666666666662,0.37138333333333334,-0.009545833333333364,0.37145416666666664,0.5,0.381,0.05
1.0052115266707535,0.027183333333333393,0.35818333333333335,0.027325000000000044,0.358325,0.5,0.33099999999999996,0.1
1.00281131139408,0.10078333333333334,0.3317833333333333,0.1010666666666667,0.3320666666666667,0.5,0.23099999999999998,0.2
1.0024371595144796,0.17438333333333333,0.30538333333333334,0.17480833333333334,0.30580833333333335,0.5,0.131,0.3
,-0.06425000000000003,0.40291666666666665,-0.06433333333333335,0.4028333333333333,0.7,0.4671666666666667,0.0
,-0.04953000000000002,0.39763666666666664,-0.04958499999999999,0.39758166666666667,0.7,0.44716666666666666,0.02
,-0.02745000000000003,0.38971666666666666,-0.027462500000000056,0.38970416666666663,0.7,0.4171666666666667,0.05
1.0062388591800349,0.009350000000000025,0.37651666666666667,0.009408333333333352,0.376575,0.7,0.36716666666666664,0.1
1.0024110910186863,0.08294999999999997,0.35011666666666663,0.08315,0.35031666666666667,0.7,0.26716666666666666,0.2
1.0021824763121474,0.15654999999999997,0.32371666666666665,0.15689166666666665,0.32405833333333334,0.7,0.16716666666666669,0.3
,-0.08274999999999993,0.4206666666666667,-0.08283333333333331,0.4205833333333333,0.9,0.5034166666666666,0.0
,-0.06802999999999992,0.4153866666666667,-0.06808499999999995,0.41533166666666665,0.9,0.4834166666666666,0.02
,-0.045949999999999935,0.4074666666666667,-0.04596250000000002,0.4074541666666666,0.9,0.45341666666666663,0.05
,-0.009149999999999936,0.3942666666666667,-0.009091666666666665,0.394325,0.9,0.40341666666666665,0.1
1.003103180760279,0.06445000000000006,0.3678666666666667,0.06465000000000004,0.36806666666666665,0.9,0.3034166666666666,0.2
1.002474948690088,0.13805000000000006,0.3414666666666667,0.1383916666666667,0.3418083333333333,0.9,0.20341666666666663,0.3
,-0.09283333333333338,0.4310833333333333,-0.0929166666666667,0.431,1.0,0.5239166666666667,0.0
,-0.07811333333333337,0.4258033333333333,-0.07816833333333334,0.42574833333333334,1.0,0.5039166666666667,0.02
,-0.05603333333333338,0.41788333333333333,-0.056045833333333406,0.4178708333333333,1.0,0.4739166666666667,0.05
,-0.01923333333333338,0.40468333333333334,-0.019175000000000053,0.40474166666666667,1.0,0.4239166666666667,0.1
1.0036787247087682,0.05436666666666662,0.3782833333333333,0.05456666666666665,0.37848333333333334,1.0,0.3239166666666667,0.2
1.002669966137015,0.12796666666666662,0.3518833333333333,0.1283083333333333,0.352225,1.0,0.2239166666666667,0.3
