best_deployable_policy,best_utility,predicted_strictly_best,repair_probability,verifier_cost
ALWAYS_STRONG+STATE_NAIVE,0.431,False,0.5,0.0
ALWAYS_STRONG+STATE_NAIVE,0.411,False,0.5,0.02
ALWAYS_STRONG+STATE_NAIVE,0.381,False,0.5,0.05
PREDICTED_ATTRIBUTION,0.358325,True,0.5,0.1
NEVER_STRONG,0.33791666666666664,False,0.5,0.2
NEVER_STRONG,0.33791666666666664,False,0.5,0.3
ALWAYS_STRONG+STATE_NAIVE,0.4671666666666667,False,0.7,0.0
ALWAYS_STRONG+STATE_NAIVE,0.44716666666666666,False,0.7,0.02
ALWAYS_STRONG+STATE_NAIVE,0.4171666666666667,False,0.7,0.05
PREDICTED_ATTRIBUTION,0.376575,True,0.7,0.1
PREDICTED_ATTRIBUTION,0.35031666666666667,True,0.7,0.2
NEVER_STRONG,0.33791666666666664,False,0.7,0.3
ALWAYS_STRONG+STATE_NAIVE,0.5034166666666666,False,0.9,0.0
ALWAYS_STRONG+STATE_NAIVE,0.4834166666666666,False,0.9,0.02
ALWAYS_STRONG+STATE_NAIVE,0.45341666666666663,False,0.9,0.05
ALWAYS_STRONG+STATE_NAIVE,0.40341666666666665,False,0.9,0.1
PREDICTED_ATTRIBUTION,0.36806666666666665,True,0.9,0.2
PREDICTED_ATTRIBUTION,0.3418083333333333,True,0.9,0.3
ALWAYS_STRONG+STATE_NAIVE,0.5239166666666667,False,1.0,0.0
ALWAYS_STRONG+STATE_NAIVE,0.5039166666666667,False,1.0,0.02
ALWAYS_STRONG+STATE_NAIVE,0.4739166666666667,False,1.0,0.05
ALWAYS_STRONG+STATE_NAIVE,0.4239166666666667,False,1.0,0.1
PREDICTED_ATTRIBUTION,0.37848333333333334,True,1.0,0.2
PREDICTED_ATTRIBUTION,0.352225,True,1.0,0.3
