action,count,policy,rate_within_cause,true_source
COMMIT,4055,COMMIT_ONLY,1.0,SUCCESS
REGENERATE,0,COMMIT_ONLY,0.0,SUCCESS
STRONG_VERIFY,0,COMMIT_ONLY,0.0,SUCCESS
TOOL_RETRY,0,COMMIT_ONLY,0.0,SUCCESS
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,SUCCESS
COMMIT,1851,COMMIT_ONLY,1.0,G
REGENERATE,0,COMMIT_ONLY,0.0,G
STRONG_VERIFY,0,COMMIT_ONLY,0.0,G
TOOL_RETRY,0,COMMIT_ONLY,0.0,G
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,G
COMMIT,2232,COMMIT_ONLY,1.0,V
REGENERATE,0,COMMIT_ONLY,0.0,V
STRONG_VERIFY,0,COMMIT_ONLY,0.0,V
TOOL_RETRY,0,COMMIT_ONLY,0.0,V
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,V
COMMIT,2084,COMMIT_ONLY,1.0,X
REGENERATE,0,COMMIT_ONLY,0.0,X
STRONG_VERIFY,0,COMMIT_ONLY,0.0,X
TOOL_RETRY,0,COMMIT_ONLY,0.0,X
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,X
COMMIT,1778,COMMIT_ONLY,1.0,E
REGENERATE,0,COMMIT_ONLY,0.0,E
STRONG_VERIFY,0,COMMIT_ONLY,0.0,E
TOOL_RETRY,0,COMMIT_ONLY,0.0,E
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,E
COMMIT,0,ALWAYS_STRONG_VERIFY,0.0,SUCCESS
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,SUCCESS
STRONG_VERIFY,4055,ALWAYS_STRONG_VERIFY,1.0,SUCCESS
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,SUCCESS
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,SUCCESS
COMMIT,0,ALWAYS_STRONG_VERIFY,0.0,G
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,G
STRONG_VERIFY,1851,ALWAYS_STRONG_VERIFY,1.0,G
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,G
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,G
COMMIT,0,ALWAYS_STRONG_VERIFY,0.0,V
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,V
STRONG_VERIFY,2232,ALWAYS_STRONG_VERIFY,1.0,V
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,V
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,V
COMMIT,0,ALWAYS_STRONG_VERIFY,0.0,X
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,X
STRONG_VERIFY,2084,ALWAYS_STRONG_VERIFY,1.0,X
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,X
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,X
COMMIT,0,ALWAYS_STRONG_VERIFY,0.0,E
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,E
STRONG_VERIFY,1778,ALWAYS_STRONG_VERIFY,1.0,E
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,E
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,E
COMMIT,3878,UNCERTAINTY_ONLY,0.9563501849568434,SUCCESS
REGENERATE,0,UNCERTAINTY_ONLY,0.0,SUCCESS
STRONG_VERIFY,177,UNCERTAINTY_ONLY,0.0436498150431566,SUCCESS
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,SUCCESS
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,SUCCESS
COMMIT,1514,UNCERTAINTY_ONLY,0.8179362506753106,G
REGENERATE,0,UNCERTAINTY_ONLY,0.0,G
STRONG_VERIFY,337,UNCERTAINTY_ONLY,0.18206374932468936,G
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,G
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,G
COMMIT,105,UNCERTAINTY_ONLY,0.04704301075268817,V
REGENERATE,0,UNCERTAINTY_ONLY,0.0,V
STRONG_VERIFY,2127,UNCERTAINTY_ONLY,0.9529569892473119,V
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,V
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,V
COMMIT,1814,UNCERTAINTY_ONLY,0.8704414587332053,X
REGENERATE,0,UNCERTAINTY_ONLY,0.0,X
STRONG_VERIFY,270,UNCERTAINTY_ONLY,0.1295585412667946,X
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,X
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,X
COMMIT,1355,UNCERTAINTY_ONLY,0.7620922384701913,E
REGENERATE,0,UNCERTAINTY_ONLY,0.0,E
STRONG_VERIFY,423,UNCERTAINTY_ONLY,0.23790776152980878,E
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,E
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,E
COMMIT,3749,FAILURE_RISK_ONLY,0.924537607891492,SUCCESS
REGENERATE,0,FAILURE_RISK_ONLY,0.0,SUCCESS
STRONG_VERIFY,306,FAILURE_RISK_ONLY,0.07546239210850801,SUCCESS
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,SUCCESS
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,SUCCESS
COMMIT,71,FAILURE_RISK_ONLY,0.03835764451647758,G
REGENERATE,0,FAILURE_RISK_ONLY,0.0,G
STRONG_VERIFY,1780,FAILURE_RISK_ONLY,0.9616423554835224,G
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,G
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,G
COMMIT,16,FAILURE_RISK_ONLY,0.007168458781362007,V
REGENERATE,0,FAILURE_RISK_ONLY,0.0,V
STRONG_VERIFY,2216,FAILURE_RISK_ONLY,0.992831541218638,V
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,V
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,V
COMMIT,100,FAILURE_RISK_ONLY,0.04798464491362764,X
REGENERATE,0,FAILURE_RISK_ONLY,0.0,X
STRONG_VERIFY,1984,FAILURE_RISK_ONLY,0.9520153550863724,X
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,X
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,X
COMMIT,67,FAILURE_RISK_ONLY,0.03768278965129359,E
REGENERATE,0,FAILURE_RISK_ONLY,0.0,E
STRONG_VERIFY,1711,FAILURE_RISK_ONLY,0.9623172103487064,E
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,E
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,E
COMMIT,0,STATE_ONLY,0.0,SUCCESS
REGENERATE,651,STATE_ONLY,0.16054254007398275,SUCCESS
STRONG_VERIFY,594,STATE_ONLY,0.14648581997533908,SUCCESS
TOOL_RETRY,2810,STATE_ONLY,0.6929716399506781,SUCCESS
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,SUCCESS
COMMIT,0,STATE_ONLY,0.0,G
REGENERATE,730,STATE_ONLY,0.3943814154511075,G
STRONG_VERIFY,637,STATE_ONLY,0.344138303619665,G
TOOL_RETRY,484,STATE_ONLY,0.2614802809292274,G
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,G
COMMIT,0,STATE_ONLY,0.0,V
REGENERATE,529,STATE_ONLY,0.23700716845878136,V
STRONG_VERIFY,1106,STATE_ONLY,0.49551971326164873,V
TOOL_RETRY,597,STATE_ONLY,0.2674731182795699,V
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,V
COMMIT,0,STATE_ONLY,0.0,X
REGENERATE,600,STATE_ONLY,0.28790786948176583,X
STRONG_VERIFY,256,STATE_ONLY,0.12284069097888675,X
TOOL_RETRY,1228,STATE_ONLY,0.5892514395393474,X
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,X
COMMIT,0,STATE_ONLY,0.0,E
REGENERATE,446,STATE_ONLY,0.2508436445444319,E
STRONG_VERIFY,503,STATE_ONLY,0.2829021372328459,E
TOOL_RETRY,829,STATE_ONLY,0.46625421822272217,E
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,E
COMMIT,2487,ATTRIBUTION_AWARE,0.6133168927250309,SUCCESS
REGENERATE,396,ATTRIBUTION_AWARE,0.09765721331689273,SUCCESS
STRONG_VERIFY,34,ATTRIBUTION_AWARE,0.008384710234278668,SUCCESS
TOOL_RETRY,838,ATTRIBUTION_AWARE,0.2066584463625154,SUCCESS
REOBSERVE_REPLAN,300,ATTRIBUTION_AWARE,0.07398273736128237,SUCCESS
COMMIT,6,ATTRIBUTION_AWARE,0.0032414910858995136,G
REGENERATE,1417,ATTRIBUTION_AWARE,0.7655321447866018,G
STRONG_VERIFY,93,ATTRIBUTION_AWARE,0.050243111831442464,G
TOOL_RETRY,191,ATTRIBUTION_AWARE,0.10318746623446785,G
REOBSERVE_REPLAN,144,ATTRIBUTION_AWARE,0.07779578606158834,G
COMMIT,0,ATTRIBUTION_AWARE,0.0,V
REGENERATE,168,ATTRIBUTION_AWARE,0.07526881720430108,V
STRONG_VERIFY,1815,ATTRIBUTION_AWARE,0.8131720430107527,V
TOOL_RETRY,103,ATTRIBUTION_AWARE,0.04614695340501792,V
REOBSERVE_REPLAN,146,ATTRIBUTION_AWARE,0.06541218637992832,V
COMMIT,12,ATTRIBUTION_AWARE,0.005758157389635317,X
REGENERATE,241,ATTRIBUTION_AWARE,0.11564299424184261,X
