action,count,policy,rate_within_component,true_component
REGENERATE,0,COMMIT_ONLY,0.0,G
STRONG_VERIFY,0,COMMIT_ONLY,0.0,G
TOOL_RETRY,0,COMMIT_ONLY,0.0,G
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,G
REGENERATE,0,COMMIT_ONLY,0.0,V
STRONG_VERIFY,0,COMMIT_ONLY,0.0,V
TOOL_RETRY,0,COMMIT_ONLY,0.0,V
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,V
REGENERATE,0,COMMIT_ONLY,0.0,X
STRONG_VERIFY,0,COMMIT_ONLY,0.0,X
TOOL_RETRY,0,COMMIT_ONLY,0.0,X
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,X
REGENERATE,0,COMMIT_ONLY,0.0,E
STRONG_VERIFY,0,COMMIT_ONLY,0.0,E
TOOL_RETRY,0,COMMIT_ONLY,0.0,E
REOBSERVE_REPLAN,0,COMMIT_ONLY,0.0,E
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,G
STRONG_VERIFY,3365,ALWAYS_STRONG_VERIFY,1.0,G
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,G
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,G
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,V
STRONG_VERIFY,3617,ALWAYS_STRONG_VERIFY,1.0,V
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,V
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,V
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,X
STRONG_VERIFY,3639,ALWAYS_STRONG_VERIFY,1.0,X
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,X
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,X
REGENERATE,0,ALWAYS_STRONG_VERIFY,0.0,E
STRONG_VERIFY,3455,ALWAYS_STRONG_VERIFY,1.0,E
TOOL_RETRY,0,ALWAYS_STRONG_VERIFY,0.0,E
REOBSERVE_REPLAN,0,ALWAYS_STRONG_VERIFY,0.0,E
REGENERATE,0,UNCERTAINTY_ONLY,0.0,G
STRONG_VERIFY,1558,UNCERTAINTY_ONLY,0.46300148588410106,G
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,G
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,G
REGENERATE,0,UNCERTAINTY_ONLY,0.0,V
STRONG_VERIFY,2127,UNCERTAINTY_ONLY,0.5880564003317666,V
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,V
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,V
REGENERATE,0,UNCERTAINTY_ONLY,0.0,X
STRONG_VERIFY,893,UNCERTAINTY_ONLY,0.2453970871118439,X
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,X
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,X
REGENERATE,0,UNCERTAINTY_ONLY,0.0,E
STRONG_VERIFY,967,UNCERTAINTY_ONLY,0.27988422575976846,E
TOOL_RETRY,0,UNCERTAINTY_ONLY,0.0,E
REOBSERVE_REPLAN,0,UNCERTAINTY_ONLY,0.0,E
REGENERATE,0,FAILURE_RISK_ONLY,0.0,G
STRONG_VERIFY,3293,FAILURE_RISK_ONLY,0.9786032689450223,G
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,G
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,G
REGENERATE,0,FAILURE_RISK_ONLY,0.0,V
STRONG_VERIFY,3483,FAILURE_RISK_ONLY,0.9629527232513132,V
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,V
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,V
REGENERATE,0,FAILURE_RISK_ONLY,0.0,X
STRONG_VERIFY,3606,FAILURE_RISK_ONLY,0.9909315746084089,X
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,X
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,X
REGENERATE,0,FAILURE_RISK_ONLY,0.0,E
STRONG_VERIFY,3390,FAILURE_RISK_ONLY,0.9811866859623734,E
TOOL_RETRY,0,FAILURE_RISK_ONLY,0.0,E
REOBSERVE_REPLAN,0,FAILURE_RISK_ONLY,0.0,E
REGENERATE,2840,STATE_ONLY,0.8439821693907875,G
STRONG_VERIFY,0,STATE_ONLY,0.0,G
TOOL_RETRY,525,STATE_ONLY,0.15601783060921248,G
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,G
REGENERATE,2932,STATE_ONLY,0.8106165330384296,V
STRONG_VERIFY,0,STATE_ONLY,0.0,V
TOOL_RETRY,685,STATE_ONLY,0.18938346696157035,V
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,V
REGENERATE,2595,STATE_ONLY,0.7131079967023908,X
STRONG_VERIFY,0,STATE_ONLY,0.0,X
TOOL_RETRY,1044,STATE_ONLY,0.2868920032976092,X
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,X
REGENERATE,2649,STATE_ONLY,0.7667149059334298,E
STRONG_VERIFY,0,STATE_ONLY,0.0,E
TOOL_RETRY,806,STATE_ONLY,0.2332850940665702,E
REOBSERVE_REPLAN,0,STATE_ONLY,0.0,E
REGENERATE,2353,ATTRIBUTION_AWARE,0.6992570579494799,G
STRONG_VERIFY,197,ATTRIBUTION_AWARE,0.058543833580980684,G
TOOL_RETRY,326,ATTRIBUTION_AWARE,0.09687964338781575,G
REOBSERVE_REPLAN,138,ATTRIBUTION_AWARE,0.04101040118870728,G
REGENERATE,1547,ATTRIBUTION_AWARE,0.42770251589715236,V
STRONG_VERIFY,1050,ATTRIBUTION_AWARE,0.29029582526956044,V
TOOL_RETRY,353,ATTRIBUTION_AWARE,0.09759469173348079,V
REOBSERVE_REPLAN,84,ATTRIBUTION_AWARE,0.023223666021564834,V
REGENERATE,322,ATTRIBUTION_AWARE,0.08848584776037373,X
STRONG_VERIFY,19,ATTRIBUTION_AWARE,0.005221214619400934,X
TOOL_RETRY,2611,ATTRIBUTION_AWARE,0.7175048090134653,X
REOBSERVE_REPLAN,220,ATTRIBUTION_AWARE,0.06045616927727398,X
REGENERATE,762,ATTRIBUTION_AWARE,0.22054992764109985,E
STRONG_VERIFY,31,ATTRIBUTION_AWARE,0.008972503617945007,E
TOOL_RETRY,1310,ATTRIBUTION_AWARE,0.3791606367583213,E
REOBSERVE_REPLAN,908,ATTRIBUTION_AWARE,0.2628075253256151,E
REGENERATE,1019,SHUFFLED_ATTRIBUTION,0.3028231797919762,G
