rho,method,repetitions,clean_target,estimate_mean,estimate_lower_95,estimate_upper_95,absolute_error_mean,bias_mean,bias_lower_95,bias_upper_95,external_flip_mean,generator_limited_count,naive_minus_oracle_skip_mean,naive_minus_oracle_skip_lower_95,naive_minus_oracle_skip_upper_95
0.0,STATIC,1000,0.5333333333333333,0.5,0.5,0.5,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,0.0,30,-0.25705645161290314,-0.25705645161290325,-0.25705645161290325
0.0,NAIVE,1000,0.5333333333333333,0.27419354838709686,0.27419354838709675,0.27419354838709675,0.25913978494623663,-0.25913978494623663,-0.2591397849462366,-0.2591397849462366,0.0,30,-0.25705645161290314,-0.25705645161290325,-0.25705645161290325
0.0,ORACLE_SKIP,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,0.0,30,-0.25705645161290314,-0.25705645161290325,-0.25705645161290325
0.0,ORACLE_CLEAN,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,0.0,30,-0.25705645161290314,-0.25705645161290325,-0.25705645161290325
0.05,STATIC,1000,0.5333333333333333,0.5,0.5,0.5,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,0.8,30,-0.26960483870967744,-0.30544354838709675,-0.25705645161290325
0.05,NAIVE,1000,0.5333333333333333,0.26164516129032256,0.22580645161290322,0.27419354838709675,0.2716881720430108,-0.2716881720430108,-0.3075268817204301,-0.2591397849462366,0.8,30,-0.26960483870967744,-0.30544354838709675,-0.25705645161290325
0.05,ORACLE_SKIP,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,0.8,30,-0.26960483870967744,-0.30544354838709675,-0.25705645161290325
0.05,ORACLE_CLEAN,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,0.8,30,-0.26960483870967744,-0.30544354838709675,-0.25705645161290325
0.1,STATIC,1000,0.5333333333333333,0.5,0.5,0.5,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,1.6,30,-0.2822177419354838,-0.32157258064516125,-0.25705645161290325
0.1,NAIVE,1000,0.5333333333333333,0.2490322580645161,0.20967741935483872,0.27419354838709675,0.28430107526881726,-0.28430107526881726,-0.3236559139784946,-0.2591397849462366,1.6,30,-0.2822177419354838,-0.32157258064516125,-0.25705645161290325
0.1,ORACLE_SKIP,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,1.6,30,-0.2822177419354838,-0.32157258064516125,-0.25705645161290325
0.1,ORACLE_CLEAN,1000,0.5333333333333333,0.53125,0.53125,0.53125,0.002083333333333326,-0.002083333333333326,-0.002083333333333326,-0.002083333333333326,1.6,30,-0.2822177419354838,-0.32157258064516125,-0.25705645161290325
0.2,STATIC,1000,0.5333333333333333,0.5,0.5,0.5,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,3.2,30,-0.3101693548387096,-0.36995967741935487,-0.27318548387096775
